idSite,SiteName,DateTime,Observed
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 11:10:00,3.788
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 11:20:00,3.616
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 11:30:00,3.447
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 11:40:00,3.272
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 11:50:00,3.101
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 12:00:00,2.927
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 12:10:00,2.76
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 12:20:00,2.6
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 12:30:00,2.455
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 12:40:00,2.301
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 12:50:00,2.151
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 13:00:00,2.015
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 13:10:00,1.887
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 13:20:00,1.771
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 13:30:00,1.672
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 13:40:00,1.578
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 13:50:00,1.495
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 14:00:00,1.411
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 14:10:00,1.339
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 14:20:00,1.281
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 14:30:00,1.227
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 14:40:00,1.185
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 14:50:00,1.144
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 15:00:00,1.107
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 15:10:00,1.075
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 15:20:00,1.047
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 15:30:00,1.032
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 15:40:00,1.02
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 15:50:00,1.016
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 16:00:00,1.019
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 16:10:00,1.039
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 16:20:00,1.076
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 16:30:00,1.125
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 16:40:00,1.186
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 16:50:00,1.267
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 17:00:00,1.362
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 17:10:00,1.472
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 17:20:00,1.584
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 17:30:00,1.7
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 17:40:00,1.826
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 17:50:00,1.97
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 18:00:00,2.118
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 18:10:00,2.28
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 18:20:00,2.442
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 18:30:00,2.602
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 18:40:00,2.771
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 18:50:00,2.934
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 19:00:00,3.099
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 19:10:00,3.265
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 19:20:00,3.443
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 19:30:00,3.614
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 19:40:00,3.775
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 19:50:00,3.931
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 20:00:00,4.085
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 20:10:00,4.238
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 20:20:00,4.379
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 20:30:00,4.515
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 20:40:00,4.643
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 20:50:00,4.752
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 21:00:00,4.84
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 21:10:00,4.915
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 21:20:00,4.97
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 21:30:00,4.996
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 21:40:00,5.002
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 21:50:00,4.986
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 22:00:00,4.96
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 22:10:00,4.916
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 22:20:00,4.848
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 22:30:00,4.753
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 22:40:00,4.634
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 22:50:00,4.5
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 23:00:00,4.359
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 23:10:00,4.209
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 23:20:00,4.042
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 23:30:00,3.871
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 23:40:00,3.689
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-01 23:50:00,3.509
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 00:00:00,3.313
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 00:10:00,3.132
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 00:20:00,2.938
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 00:30:00,2.747
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 00:40:00,2.566
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 00:50:00,2.387
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 01:00:00,2.214
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 01:10:00,2.045
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 01:20:00,1.887
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 01:30:00,1.74
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 01:40:00,1.609
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 01:50:00,1.492
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 02:00:00,1.388
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 02:10:00,1.306
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 02:20:00,1.232
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 02:30:00,1.167
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 02:40:00,1.109
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 02:50:00,1.058
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 03:00:00,1.011
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 03:10:00,0.973
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 03:20:00,0.923
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 03:30:00,0.894
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 03:40:00,0.861
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 03:50:00,0.839
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 04:00:00,0.828
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 04:10:00,0.829
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 04:20:00,0.839
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 04:30:00,0.855
