idSite,SiteName,DateTime,Observed
12b_MARGATE_PILE,Margate Pile,2015-01-01 14:20:00,0.828
12b_MARGATE_PILE,Margate Pile,2015-01-01 14:30:00,0.782
12b_MARGATE_PILE,Margate Pile,2015-01-01 14:40:00,0.754
12b_MARGATE_PILE,Margate Pile,2015-01-01 14:50:00,0.727
12b_MARGATE_PILE,Margate Pile,2015-01-01 15:00:00,0.714
12b_MARGATE_PILE,Margate Pile,2015-01-01 15:10:00,0.724
12b_MARGATE_PILE,Margate Pile,2015-01-01 15:20:00,0.73
12b_MARGATE_PILE,Margate Pile,2015-01-01 15:30:00,0.735
12b_MARGATE_PILE,Margate Pile,2015-01-01 15:40:00,0.763
12b_MARGATE_PILE,Margate Pile,2015-01-01 15:50:00,0.794
12b_MARGATE_PILE,Margate Pile,2015-01-01 16:00:00,0.826
12b_MARGATE_PILE,Margate Pile,2015-01-01 16:10:00,0.876
12b_MARGATE_PILE,Margate Pile,2015-01-01 16:20:00,0.955
12b_MARGATE_PILE,Margate Pile,2015-01-01 16:30:00,1.041
12b_MARGATE_PILE,Margate Pile,2015-01-01 16:40:00,1.147
12b_MARGATE_PILE,Margate Pile,2015-01-01 16:50:00,1.257
12b_MARGATE_PILE,Margate Pile,2015-01-01 17:00:00,1.366
12b_MARGATE_PILE,Margate Pile,2015-01-01 17:10:00,1.482
12b_MARGATE_PILE,Margate Pile,2015-01-01 17:20:00,1.6
12b_MARGATE_PILE,Margate Pile,2015-01-01 17:30:00,1.73
12b_MARGATE_PILE,Margate Pile,2015-01-01 17:40:00,1.861
12b_MARGATE_PILE,Margate Pile,2015-01-01 17:50:00,1.974
12b_MARGATE_PILE,Margate Pile,2015-01-01 18:00:00,2.115
12b_MARGATE_PILE,Margate Pile,2015-01-01 18:10:00,2.264
12b_MARGATE_PILE,Margate Pile,2015-01-01 18:20:00,2.399
12b_MARGATE_PILE,Margate Pile,2015-01-01 18:30:00,2.538
12b_MARGATE_PILE,Margate Pile,2015-01-01 18:40:00,2.694
12b_MARGATE_PILE,Margate Pile,2015-01-01 18:50:00,2.841
12b_MARGATE_PILE,Margate Pile,2015-01-01 19:00:00,2.978
12b_MARGATE_PILE,Margate Pile,2015-01-01 19:10:00,3.101
12b_MARGATE_PILE,Margate Pile,2015-01-01 19:20:00,3.218
12b_MARGATE_PILE,Margate Pile,2015-01-01 19:30:00,3.329
12b_MARGATE_PILE,Margate Pile,2015-01-01 19:40:00,3.426
12b_MARGATE_PILE,Margate Pile,2015-01-01 19:50:00,3.492
12b_MARGATE_PILE,Margate Pile,2015-01-01 20:00:00,3.549
12b_MARGATE_PILE,Margate Pile,2015-01-01 20:10:00,3.605
12b_MARGATE_PILE,Margate Pile,2015-01-01 20:20:00,3.66
