idSite,site_name,date,daily_tidal_range
01_RICHMOND,Richmond Lock,2004-03-27,3.624326388888889
01_RICHMOND,Richmond Lock,2004-03-28,3.2641388888888887
01_RICHMOND,Richmond Lock,2004-03-29,2.988211267605634
01_RICHMOND,Richmond Lock,2004-03-30,2.750377622377622
01_RICHMOND,Richmond Lock,2004-03-31,2.882232394366197
01_RICHMOND,Richmond Lock,2004-04-01,3.0478072289156626
01_RICHMOND,Richmond Lock,2004-04-02,3.1548953488372096
01_RICHMOND,Richmond Lock,2004-04-03,3.8214822695035466
01_RICHMOND,Richmond Lock,2004-04-04,4.082356643356643
01_RICHMOND,Richmond Lock,2004-04-05,4.210262411347517
01_RICHMOND,Richmond Lock,2004-04-06,4.3402569444444445
01_RICHMOND,Richmond Lock,2004-04-07,4.501319444444444
01_RICHMOND,Richmond Lock,2004-04-08,4.524597222222223
01_RICHMOND,Richmond Lock,2004-04-09,4.457097222222222
01_RICHMOND,Richmond Lock,2004-04-10,4.489791666666667
01_RICHMOND,Richmond Lock,2004-04-11,4.282680555555555
01_RICHMOND,Richmond Lock,2004-04-12,3.905493055555555
01_RICHMOND,Richmond Lock,2004-04-13,3.5630625
01_RICHMOND,Richmond Lock,2004-04-14,3.4110208333333336
01_RICHMOND,Richmond Lock,2004-04-15,3.663472222222222
01_RICHMOND,Richmond Lock,2004-04-16,4.201797202797203
01_RICHMOND,Richmond Lock,2004-04-17,4.418770833333333
01_RICHMOND,Richmond Lock,2004-04-18,4.558090277777777
01_RICHMOND,Richmond Lock,2004-04-19,4.029873239436619
01_RICHMOND,Richmond Lock,2004-04-20,3.726326388888889
01_RICHMOND,Richmond Lock,2004-04-21,3.9855902777777783
01_RICHMOND,Richmond Lock,2004-04-22,4.175433566433567
01_RICHMOND,Richmond Lock,2004-04-23,4.002321678321678
01_RICHMOND,Richmond Lock,2004-04-24,3.8240555555555553
01_RICHMOND,Richmond Lock,2004-04-25,3.749895104895105
01_RICHMOND,Richmond Lock,2004-04-26,3.5474722222222224
01_RICHMOND,Richmond Lock,2004-04-27,3.367208333333333
01_RICHMOND,Richmond Lock,2004-04-28,2.7534236111111112
01_RICHMOND,Richmond Lock,2004-04-29,2.6664166666666667
01_RICHMOND,Richmond Lock,2004-04-30,2.840992907801419
01_RICHMOND,Richmond Lock,2004-05-01,2.8731914893617017
01_RICHMOND,Richmond Lock,2004-05-02,3.3568623188405797
01_RICHMOND,Richmond Lock,2004-05-03,3.8400211267605635
01_RICHMOND,Richmond Lock,2004-05-04,3.916281690140845
01_RICHMOND,Richmond Lock,2004-05-05,3.656236111111111
01_RICHMOND,Richmond Lock,2004-05-06,3.500020833333333
01_RICHMOND,Richmond Lock,2004-05-07,3.9381666666666666
01_RICHMOND,Richmond Lock,2004-05-08,3.9934930555555557
01_RICHMOND,Richmond Lock,2004-05-09,4.185723404255318
01_RICHMOND,Richmond Lock,2004-05-10,3.895479166666667
01_RICHMOND,Richmond Lock,2004-05-11,3.6465
01_RICHMOND,Richmond Lock,2004-05-12,3.2973125
01_RICHMOND,Richmond Lock,2004-05-13,3.237725352112676
01_RICHMOND,Richmond Lock,2004-05-14,3.1892066115702478
