idSite,site_name,frequency,power
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.33282760476747614,7.119905405344996e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.33882923665802783,2.412019880960478e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.3448308685485795,1.4355837727212922e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.3508325004391312,1.0748495479968934e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.356834132329683,1.807033508423841e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.36283576422023467,3.5711077211292356e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.36883739611078636,7.162173925436112e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.3748390280013381,3.473365997286214e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.3808406598918898,4.467663350218556e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.3868422917824415,8.401627022634545e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.3928439236729932,8.503360420481823e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.3988455555635449,2.971084374182124e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.40484718745409665,1.2353945228337945e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.41084881934464834,2.2844478230436338e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.41685045123520004,8.95206519512446e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.4228520831257518,3.1733184437247856e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.4288537150163035,4.116613384449624e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.4348553469068552,7.58606035755555e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.4408569787974069,1.7246139360372974e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.44685861068795857,2.1828887068486322e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.4528602425785103,5.237478033126481e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.458861874469062,6.770306408479788e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.4648635063596137,2.471672754874659e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.47086513825016546,1.1111890802367316e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.47686677014071716,2.3995608105118598e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.48286840203126885,4.2424593534229116e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.48887003392182055,1.3909291291562057e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.49487166581237224,5.406235800375929e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.500873297702924,5.683730378173941e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5068749295934756,2.4224413074457737e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5128765614840274,1.297167325401563e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5188781933745791,4.288751327631723e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5248798252651308,5.304349740788626e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5308814571556825,1.183370504361938e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5368830890462342,1.1676631842088434e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5428847209367859,4.105263964393269e-06
